backbone,feature,dr,k,clf,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_folds,accuracy_mean±std,macro_f1_mean±std,k_num,cv_macro,cv_acc
mobilenet_v3_small,EplusT,lda,128,logreg,0.9945340003238006,0.0004198422456901,0.9933399128266364,0.0025424700407442,4,0.9945 ± 0.0004,0.9933 ± 0.0025,128,0.0025595166447171316,0.00042214971590009547
mobilenet_v3_small,EplusT,lda,267,logreg,0.9947357086150496,0.0012940334421129,0.992431985529578,0.0037415288397801,4,0.9947 ± 0.0013,0.9924 ± 0.0037,267,0.0037700607138128352,0.0013008816622389638
mobilenet_v3_small,EplusT,lda,64,logreg,0.993698144966035,0.0011995560607068,0.9917004481099256,0.0036206337941118,4,0.9937 ± 0.0012,0.9917 ± 0.0036,64,0.0036509349179065995,0.0012071634296414978
mobilenet_v3_small,EplusT,pca,128,logreg,0.9930187680547592,0.0026194800189802,0.9902658753419462,0.0068678337048077,4,0.9930 ± 0.0026,0.9903 ± 0.0069,128,0.006935343200056501,0.0026378957812740085
mobilenet_v3_small,EplusT,lda,128,linearsvc,0.9922198244039908,0.0027650310549887,0.9897005831471948,0.0041179906182219,4,0.9922 ± 0.0028,0.9897 ± 0.0041,128,0.004160844894243418,0.002786712164964875
mobilenet_v3_small,EplusT,lda,128,knn,0.992983625673975,0.0024890036851793,0.9894214736165426,0.0039944262876638,4,0.9930 ± 0.0025,0.9894 ± 0.0040,128,0.004037133207812135,0.002506590864967601
mobilenet_v3_small,EplusT,pca,64,logreg,0.9923715919422766,0.0026884017820548,0.9893606115082422,0.0066352755799527,4,0.9924 ± 0.0027,0.9894 ± 0.0066,64,0.006706630022222909,0.0027090676555848723
mobilenet_v3_small,EplusT,pca,256,logreg,0.9928136053345344,0.0028882302118424,0.9891658000707312,0.0066160371841891,4,0.9928 ± 0.0029,0.9892 ± 0.0066,256,0.006688501749362266,0.0029091364142479537
mobilenet_v3_small,EplusT,lda,267,knn,0.9933394453813114,0.0016635469312135,0.9891243582881416,0.0053473386874042,4,0.9933 ± 0.0017,0.9891 ± 0.0053,267,0.00540613386233186,0.001674701371164459
mobilenet_v3_small,EplusT,lda,267,linearsvc,0.9931360519872996,0.0013407740379151,0.98818471565442,0.0031902230646256,4,0.9931 ± 0.0013,0.9882 ± 0.0032,267,0.0032283671403576237,0.0013500406467279228
mobilenet_v3_small,EplusT,rp,128,logreg,0.9911476929257804,0.00188816680622,0.9881845803317776,0.0035428881264099,4,0.9911 ± 0.0019,0.9882 ± 0.0035,128,0.0035852493521167975,0.0019050307231653775
efficientnet_b0,EplusT,lda,267,knn,0.9923773902490538,0.0021973058594894,0.9879650103161408,0.0032614990754346,4,0.9924 ± 0.0022,0.9880 ± 0.0033,267,0.0033012293364394004,0.0022141837178855264
efficientnet_b0,EplusT,pca,256,logreg,0.992083858413007,0.0025530691965657,0.987452399889874,0.0037182989735075,4,0.9921 ± 0.0026,0.9875 ± 0.0037,256,0.0037655475584629896,0.002573440919245637
resnet50,EplusT,lda,267,logreg,0.9913953129894284,0.0025403412665275,0.98707973784896,0.0043702750903902,4,0.9914 ± 0.0025,0.9871 ± 0.0044,267,0.004427479283395542,0.0025623898290025766
mobilenet_v3_small,EplusT,lda,64,knn,0.9923404785420566,0.0015939448125705,0.9869049585919474,0.0038467089901052,4,0.9923 ± 0.0016,0.9869 ± 0.0038,64,0.00389775019024075,0.001606247902847531
