backbone,feature,dr,k,clf,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_folds,accuracy_mean±std,macro_f1_mean±std,k_num
mobilenet_v3_small,EplusT,lda,128,logreg,0.9945340003238006,0.0004198422456901,0.9933399128266364,0.0025424700407442,4,0.9945 ± 0.0004,0.9933 ± 0.0025,128
mobilenet_v3_small,EplusT,lda,267,logreg,0.9947357086150496,0.0012940334421129,0.992431985529578,0.0037415288397801,4,0.9947 ± 0.0013,0.9924 ± 0.0037,267
mobilenet_v3_small,EplusT,lda,64,logreg,0.993698144966035,0.0011995560607068,0.9917004481099256,0.0036206337941118,4,0.9937 ± 0.0012,0.9917 ± 0.0036,64
mobilenet_v3_small,EplusT,pca,128,logreg,0.9930187680547592,0.0026194800189802,0.9902658753419462,0.0068678337048077,4,0.9930 ± 0.0026,0.9903 ± 0.0069,128
mobilenet_v3_small,EplusT,lda,128,linearsvc,0.9922198244039908,0.0027650310549887,0.9897005831471948,0.0041179906182219,4,0.9922 ± 0.0028,0.9897 ± 0.0041,128
mobilenet_v3_small,EplusT,lda,128,knn,0.992983625673975,0.0024890036851793,0.9894214736165426,0.0039944262876638,4,0.9930 ± 0.0025,0.9894 ± 0.0040,128
mobilenet_v3_small,EplusT,pca,64,logreg,0.9923715919422766,0.0026884017820548,0.9893606115082422,0.0066352755799527,4,0.9924 ± 0.0027,0.9894 ± 0.0066,64
mobilenet_v3_small,EplusT,pca,256,logreg,0.9928136053345344,0.0028882302118424,0.9891658000707312,0.0066160371841891,4,0.9928 ± 0.0029,0.9892 ± 0.0066,256
mobilenet_v3_small,EplusT,lda,267,knn,0.9933394453813114,0.0016635469312135,0.9891243582881416,0.0053473386874042,4,0.9933 ± 0.0017,0.9891 ± 0.0053,267
mobilenet_v3_small,EplusT,lda,267,linearsvc,0.9931360519872996,0.0013407740379151,0.98818471565442,0.0031902230646256,4,0.9931 ± 0.0013,0.9882 ± 0.0032,267
mobilenet_v3_small,EplusT,rp,128,logreg,0.9911476929257804,0.00188816680622,0.9881845803317776,0.0035428881264099,4,0.9911 ± 0.0019,0.9882 ± 0.0035,128
efficientnet_b0,EplusT,lda,267,knn,0.9923773902490538,0.0021973058594894,0.9879650103161408,0.0032614990754346,4,0.9924 ± 0.0022,0.9880 ± 0.0033,267
efficientnet_b0,EplusT,pca,256,logreg,0.992083858413007,0.0025530691965657,0.987452399889874,0.0037182989735075,4,0.9921 ± 0.0026,0.9875 ± 0.0037,256
resnet50,EplusT,lda,267,logreg,0.9913953129894284,0.0025403412665275,0.98707973784896,0.0043702750903902,4,0.9914 ± 0.0025,0.9871 ± 0.0044,267
mobilenet_v3_small,EplusT,lda,64,knn,0.9923404785420566,0.0015939448125705,0.9869049585919474,0.0038467089901052,4,0.9923 ± 0.0016,0.9869 ± 0.0038,64
efficientnet_b0,EplusT,lda,267,logreg,0.9921722275288292,0.0019547310729822,0.9868638859355644,0.0021940764616321,4,0.9922 ± 0.0020,0.9869 ± 0.0022,267
mobilenet_v3_small,EplusT,lda,64,linearsvc,0.991918809158404,0.0025399689624513,0.9868447868896092,0.0061064721509607,4,0.9919 ± 0.0025,0.9868 ± 0.0061,64
mobilenet_v3_small,EplusT,lda,32,logreg,0.9906160314196252,0.001245883209836,0.9865684351925024,0.0034721059004781,4,0.9906 ± 0.0012,0.9866 ± 0.0035,32
efficientnet_b0,EplusT,lda,128,knn,0.9907703344352145,0.0024205950614696,0.9864374225319972,0.0038518641722382,4,0.9908 ± 0.0024,0.9864 ± 0.0039,128
efficientnet_b0,EplusT,lda,128,logreg,0.9911000960506188,0.0012912885679708,0.9862210244817332,0.0018775697083649,4,0.9911 ± 0.0013,0.9862 ± 0.0019,128
efficientnet_b0,EplusT,pca,128,logreg,0.9909131019080984,0.0015987646242483,0.9860910280527556,0.0030905962645419,4,0.9909 ± 0.0016,0.9861 ± 0.0031,128
mobilenet_v3_small,EplusT,pca,128,linearsvc,0.9901123047076664,0.0019453636840259,0.9860598191131092,0.0061830425085955,4,0.9901 ± 0.0019,0.9861 ± 0.0062,128
mobilenet_v3_small,EplusT,pca,256,linearsvc,0.9913288887615236,0.0027496509087842,0.985928027890096,0.0057333287741978,4,0.9913 ± 0.0027,0.9859 ± 0.0057,256
resnet50,EplusT,lda,267,knn,0.9907850485839432,0.0025240489450615,0.9855267897491092,0.0051516043230267,4,0.9908 ± 0.0025,0.9855 ± 0.0052,267
efficientnet_b0,EplusT,lda,64,knn,0.9894783260880508,0.0016605899614168,0.9854724563246092,0.0039754429810865,4,0.9895 ± 0.0017,0.9855 ± 0.0040,64
efficientnet_b0,EplusT,pca,64,logreg,0.9892528193592208,0.0024218013053761,0.9847710621780964,0.0033871141288382,4,0.9893 ± 0.0024,0.9848 ± 0.0034,64
mobilenet_v3_small,EplusT,rp,128,linearsvc,0.9892821634332276,0.0015419165393727,0.9843082444465024,0.0051762464545864,4,0.9893 ± 0.0015,0.9843 ± 0.0052,128
efficientnet_b0,EplusT,lda,64,logreg,0.989247105275894,0.0026595082945489,0.9839955044550288,0.0067937919863352,4,0.9892 ± 0.0027,0.9840 ± 0.0068,64
efficientnet_b0,EplusT,pca,256,linearsvc,0.9908983877593698,0.0019538788342635,0.9839299684669872,0.0030231686164431,4,0.9909 ± 0.0020,0.9839 ± 0.0030,256
efficientnet_b0,EplusT,pca,128,linearsvc,0.9896432068957528,0.0014697821438652,0.983396468797877,0.0018905510664129,4,0.9896 ± 0.0015,0.9834 ± 0.0019,128
